station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
VIS;13.03.2025 00:00;7.2;12.8;0.1;6.4;15.7;-2.4;68.1;6.7;921.8;;1302.7;;995.3;3;15;10.8;54;14.5;52.2;0;0.2;0.5;;139;;;;63;221;38;1.8;0;274;12.8;4.8;-0.3
VIS;14.03.2025 00:00;5.7;11.3;1.4;5.5;16.8;-1.1;69;6.2;926.6;;1341.4;;1000.5;2.4;12.3;8.6;44.3;12.1;43.6;0;0;0;;125;;;;104;39;7;1.7;0;270;14.3;6.3;-0.4
VIS;15.03.2025 00:00;6.5;12.7;3.7;6.8;19.1;2.4;75.2;7.2;930.2;;1375.1;;1004.4;2.8;12.2;10.1;43.9;12.1;43.6;0;7.5;1;;135;;;;103;90;15;1.9;0;266;13.5;5.5;0.6
VIS;16.03.2025 00:00;4.9;7.9;2.6;5.1;11.1;1.9;77.6;6.7;938.6;;1442.1;;1013.2;3;8.4;10.8;30.2;8;28.8;0;0.7;7.2;;125;;;;116;5;1;1.4;0;266;15.1;7.1;7
VIS;17.03.2025 00:00;6.6;12.8;1.5;7.1;18.1;-3.2;69.8;6.6;943.1;;1486;;1018.1;1.6;10.6;5.8;38.2;10.4;37.4;0;0;0;;229;;;;60;507;83;2.1;0;246;13.4;5.4;-1.6
VIS;18.03.2025 00:00;6.9;15.4;-2.2;6.6;19.8;-5;54.7;5;947;;1519.8;;1022.1;2.9;12.7;10.4;45.7;11.9;42.8;310;0;0;;227;;;;33;621;100;2.8;0;124;13.1;5.1;-2.7
VIS;19.03.2025 00:00;7.6;16.8;-2.1;7.1;21.6;-5.7;41.5;3.8;950.6;;1552.9;;1026;2.9;11.7;10.4;42.1;11.6;41.8;440;0;0;;237;;;;32;627;99;3.3;0;118;12.4;4.4;-3.6
VIS;20.03.2025 00:00;9.8;18.2;-1.8;9;22.7;-5.4;39.3;4.4;949.9;;1554.6;;1025.3;4;14.3;14.4;51.5;14;50.4;560;0;0;;217;;;;51;533;82;3.7;0;116;10.2;2.2;-3.4
VIS;21.03.2025 00:00;11.9;17.5;4.7;11;19.4;1.7;40.1;5.4;942.4;;1496.5;;1017.3;8;21.4;28.8;77;20.8;74.9;900;0;0;;158;;;;110;166;25;4.6;0;108;8.1;0.1;-1.5
VIS;22.03.2025 00:00;12.9;16.4;9.5;12.9;18.9;8.6;43.4;6.3;933.7;;1423.5;;1008.1;10.1;20.4;36.4;73.4;20.1;72.4;1310;0.2;0;;214;;;;65;459;69;5.1;0;111;0;0;-2.9
VIS;23.03.2025 00:00;11.2;16.5;6.2;10.9;20.1;3.8;51.9;6.6;931.8;;1401.8;;1006;5.4;15.2;19.4;54.7;14.5;52.2;720;0;0.2;;180;;;;82;272;41;3.6;0;107;8.8;0.8;-1.5
