station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
VIS;17.02.2025 00:00;0.7;8.5;-5.3;-1.1;12.5;-8.4;74.3;4.6;942.2;;1460.2;;1017.1;1.1;5;4;18;4.9;17.6;0;0;0;;143;;;;30;464;100;0.9;0;248;19.3;11.3;-0.5
VIS;18.02.2025 00:00;1.2;9.6;-5.1;-0.6;13.1;-7.9;68.2;4.3;944.1;;1477.2;;1019.1;1.4;6.9;5;24.8;6.8;24.5;0;0;0;;148;;;;26;468;100;1.1;0;233;18.8;10.8;-0.6
VIS;19.02.2025 00:00;2.3;10.8;-5.5;1;14.2;-7.4;67.9;4.7;947;;1505.3;;1022.2;1.4;6;5;21.6;5.9;21.2;0;0;0;;135;;;;42;404;87;1.1;0;262;17.7;9.7;-0.6
VIS;20.02.2025 00:00;5.1;13.5;-2;3.5;17.8;-4.6;65.9;5.7;951.5;;1552;;1026.9;1.1;4.1;4;14.8;4;14.4;0;0;0;;128;;;;39;356;75;1.1;0;135;14.9;6.9;-0.6
VIS;21.02.2025 00:00;8.7;17.5;-2.6;7.9;19.4;-4.4;53.6;5.5;949.1;;1543.5;;1024.4;4.4;16;15.8;57.6;15.6;56.2;590;0;0;;133;;;;51;386;81;2.7;0;116;11.3;3.3;-0.8
VIS;22.02.2025 00:00;11.1;15.3;3.5;10;18.5;0;42.2;5.4;947.2;;1535.2;;1022.4;6.8;19.5;24.5;70.2;18.9;68;1160;0;0;;106;;;;81;100;21;3.3;0;111;8.9;0.9;-0.5
VIS;23.02.2025 00:00;7.6;12.7;1.8;6.8;16.3;-0.1;67.2;6.9;953.6;;1578.5;;1029.2;1.9;8.2;6.8;29.5;7.9;28.4;0;0;0;;97;;;;78;60;13;1.3;0;256;12.4;4.4;-0.2
VIS;24.02.2025 00:00;7.1;13.1;0.7;5.6;15;-2.8;67.4;6.5;950.4;;1549;;1025.8;0.9;4.9;3.2;17.6;4.8;17.3;0;0;0;;91;;;;82;23;5;1;0;225;12.9;4.9;-0.2
VIS;25.02.2025 00:00;7.6;11.4;3.5;6.4;12.4;0.8;65.1;6.8;941.7;;1476.7;;1016.5;3.5;15.4;12.6;55.4;15.1;54.4;160;0.1;0.1;;51;;;;47;3;1;1.5;0;225;12.4;4.4;-0.1
VIS;26.02.2025 00:00;5.9;10;-1.4;5.3;12.9;-5.7;59.3;5.4;943.5;;1487;;1018.4;7.4;17;26.6;61.2;16.7;60.1;0;0;0;;144;;;;78;277;56;2.1;0;283;14.1;6.1;-0.7
VIS;27.02.2025 00:00;3.7;9.8;-3.6;2.7;13.9;-6.5;66.9;5.2;944.3;;1487.1;;1019.3;3.1;11.9;11.2;42.8;11.5;41.4;0;0;0;;133;;;;71;244;49;1.5;0;276;16.3;8.3;-0.6
VIS;28.02.2025 00:00;3.6;10.5;-2.2;2.9;14.4;-7.5;62;4.6;945.2;;1494;;1020.3;1.7;9.5;6.1;34.2;9.1;32.8;0;0;0;;175;;;;29;510;100;1.5;0;246;16.4;8.4;-1.1
VIS;01.03.2025 00:00;3.1;12.5;-4.9;1.4;16.1;-9.1;61.8;4.3;946.8;;1506.2;;1022;2.7;13.5;9.7;48.6;13.1;47.2;450;0;0;;170;;;;48;464;90;1.9;0;119;16.9;8.9;-1.1
VIS;02.03.2025 00:00;3.6;14.4;-5.8;2.2;18.8;-8.6;59.1;4.3;951.1;;1543.2;;1026.5;1.2;6.2;4.3;22.3;6.1;22;0;0;0;;182;;;;28;522;100;1.6;0;231;16.4;8.4;-1.3
VIS;03.03.2025 00:00;4;14.8;-4.9;2.1;18.6;-9.5;50.7;3.6;951;;1544.4;;1026.5;1.4;6.4;5;23;6.3;22.7;0;0;0;;189;;;;28;529;100;1.9;0;202;16;8;-1.6
VIS;04.03.2025 00:00;5.1;15.8;-5.7;3;19.8;-9.2;47.4;3.7;949.7;;1536.6;;1025;1.3;5.7;4.7;20.5;5.6;20.2;0;0;0;;185;;;;31;534;100;1.8;0;198;14.9;6.9;-1.8
VIS;05.03.2025 00:00;7.7;18.2;-3;6.7;21.1;-8.3;43.7;4.1;950.2;;1550.1;;1025.7;3.1;13.4;11.2;48.2;13.1;47.2;370;0;0;;190;;;;30;541;100;3;0;106;12.3;4.3;-2
VIS;06.03.2025 00:00;10.9;16.3;6.6;10.4;18.6;4.8;33.7;4.3;948.4;;1545;;1023.7;7.4;15.8;26.6;56.9;15.5;55.8;890;0;0;;183;;;;46;545;99;4.6;0;103;9.1;1.1;-2.4
VIS;07.03.2025 00:00;9.8;15.8;4.4;9.3;18.2;2.8;36.2;4.3;944.5;;1507.9;;1019.5;5.8;13.4;20.9;48.2;12.9;46.4;700;0;0;;186;;;;41;555;99;3.9;0;97;10.2;2.2;-2.5
VIS;08.03.2025 00:00;10.4;17;2.9;10.1;19.8;-1.3;36.4;4.4;939.3;;1464.7;;1014;6;15.7;21.6;56.5;15.4;55.4;810;0;0;;191;;;;35;569;100;4.1;0;111;9.6;1.6;-2.7
VIS;09.03.2025 00:00;11.6;16.3;7.5;11.2;18.8;5.8;35.8;4.9;933.3;;1416;;1007.6;9.9;20.2;35.6;72.7;19.4;69.8;1080;1.6;0;;140;;;;74;337;59;5;0;106;8.4;0.4;-1.8
VIS;10.03.2025 00:00;10.3;15.3;7.2;10.1;19.2;5.5;61.1;7.5;929.5;;1378.8;;1003.5;5.5;15;19.8;54;14.7;52.9;720;0.6;2.2;;159;;;;54;350;61;3;0;109;9.7;1.7;1
VIS;11.03.2025 00:00;10.7;16.1;4.4;10.6;19.6;2.1;48.4;6.1;928.2;;1368.7;;1002.2;4.1;12.9;14.8;46.4;12.6;45.4;770;0;0;;161;;;;81;305;53;3;0;109;9.3;1.3;-1.5
VIS;12.03.2025 00:00;8.8;12.9;5.7;8.6;17.2;4.5;67.3;7.5;922.9;;1316.8;;996.5;2.8;10.2;10.1;36.7;10.1;36.4;250;1.1;0.8;;78;;;;71;19;3;1.7;0;234;11.2;3.2;0.5
