station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
BER;01.01.1975 00:00;8.1;3.9;12.5;-1.2;-0.8;-1.5;9.5;-0.3;16;953;0.4;9;;;936.3;92;;;91614;85;3916.2;61.3;1972.2;116;-10.6;30.4;117;33;18;0;2;0
BER;01.01.1976 00:00;8.3;3.5;12.9;-1;-1.2;-1.1;9.1;-0.7;29;951.6;-1;9;;;725.3;71;;;113094;105;3845.3;92.8;1965.3;97;-14.3;31;125;42;32;0;4;0
BER;01.01.1977 00:00;8.3;4;12.7;-1;-0.7;-1.3;9.4;-0.4;15;951.6;-1;7;;;1284.7;126;;;83832;78;3661.3;14.5;1765.3;152;-11.3;27.8;101;13;14;0;0;0
BER;01.01.1978 00:00;7.4;3.2;11.9;-1.9;-1.5;-2.1;9;-0.8;29;950.9;-1.7;6;;;1058.2;104;;;88996;83;4121.4;18.1;2041.4;131;-11.5;29.1;115;15;26;0;0;0
BER;01.01.1979 00:00;8;3.9;12.6;-1.3;-0.8;-1.4;9.3;-0.5;19;950.7;-1.9;7;;;1241.6;122;;;93033;86;3924.7;36.5;1956.7;143;-16.4;31.7;107;25;17;0;1;0
BER;01.01.1980 00:00;7.5;3.4;12;-1.8;-1.3;-2;8.7;-1.1;14;951.6;-1;6;;;1147.9;112;;;88096;82;4063.1;39.1;2071.1;137;-15.7;30.3;120;22;32;0;1;0
BER;01.01.1981 00:00;8.2;3.4;12.8;-1.1;-1.3;-1.2;9.3;-0.5;17;951.8;-0.8;11;1.8;95;1173.1;115;135;93;88620;82;3749.2;52.5;1925.2;136;-15.4;30.9;111;30;26;0;2;0
BER;01.01.1982 00:00;8.8;4.3;13.4;-0.5;-0.4;-0.6;9.9;0.1;15;952.9;0.3;8;1.7;89;1177.4;115;139;96;93871;87;3633;60;1769;127;-11.1;29.9;110;31;10;0;0;0
BER;01.01.1983 00:00;8.6;4;13.4;-0.7;-0.7;-0.6;9.8;0;37;953.6;1;7;1.9;100;931.3;91;139;96;94543;88;3789.3;130.3;1909.3;114;-10.9;34.6;113;45;18;0;12;0
BER;01.01.1984 00:00;7.9;3.5;12.4;-1.4;-1.2;-1.6;8.8;-1;20;951.5;-1.1;6;2;105;984.8;96;140;97;95244;88;3976.4;47.4;1976.4;121;-12.5;30.6;122;26;16;0;3;0
BER;01.01.1985 00:00;7.7;2.9;12.7;-1.6;-1.8;-1.3;9.1;-0.7;22;952.1;-0.5;11;2;105;987.7;97;146;101;104358;97;3987.2;63;2163.2;113;-21.1;31.7;129;48;42;0;4;0
BER;01.01.1986 00:00;8.1;3.6;12.8;-1.2;-1.1;-1.2;9.3;-0.5;31;952.3;-0.3;6;2;105;1131.4;111;137;95;96562;90;3794.6;87.9;2018.6;124;-17.1;31.7;113;42;31;0;5;0
BER;01.01.1987 00:00;8;4;12.5;-1.3;-0.7;-1.5;9.5;-0.3;17;952.3;-0.3;9;1.9;100;1235.1;121;128;88;82348;76;3942.2;82.7;2030.2;136;-21.5;31.6;106;44;37;0;8;0
BER;01.01.1988 00:00;9;4.7;13.5;-0.3;0;-0.5;9.6;-0.2;22;952.2;-0.4;8;2.1;111;1135.7;111;135;93;90930;84;3462.1;61.3;1694.1;142;-10.8;31.1;98;27;8;0;3;0
BER;01.01.1989 00:00;8.9;4.2;14;-0.4;-0.5;0;9.3;-0.5;21;953.9;1.3;7;1.8;95;761.5;75;144;99;112662;104;3604.9;50.5;1724.9;105;-7.4;31.2;92;38;20;0;2;0
BER;01.01.1990 00:00;9.2;4.6;14.1;-0.1;-0.1;0.1;9.5;-0.3;23;953.7;1.1;9;2;105;1270.8;124;144;99;110500;102;3328.9;81.7;1640.9;123;-9.9;32.2;86;41;19;0;6;0
BER;01.01.1991 00:00;8.4;3.8;13;-0.9;-0.9;-1;9.3;-0.5;26;953.4;0.8;6;1.9;100;867.9;85;143;99;105835;98;3939.9;102.2;1987.9;103;-14.7;31.2;113;58;36;0;5;0
BER;01.01.1992 00:00;9;4.6;13.4;-0.3;-0.1;-0.6;9.7;-0.1;19;953.5;0.9;13;1.9;100;1042.3;102;134;93;92628;86;3619.8;125;1819.8;124;-14.5;32.7;96;39;23;0;13;0
BER;01.01.1993 00:00;8.7;4.4;13.2;-0.6;-0.3;-0.8;9.5;-0.3;19;953.2;0.6;9;2;105;1040.8;102;136;94;92433;86;3600.3;76.2;1776.3;142;-12.6;31.9;103;33;24;0;4;0
BER;01.01.1994 00:00;10.1;6;14.4;0.8;1.3;0.4;10.4;0.6;17;952.6;0;9;2;105;1087.3;106;131;90;87671;81;3244.3;163.2;1444.3;139;-9.8;33.2;64;52;10;0;11;0
BER;01.01.1995 00:00;8.9;4.4;13.6;-0.4;-0.3;-0.4;9.6;-0.2;21;952.4;-0.2;11;2.1;111;1222;120;141;97;100785;93;3592.8;109.7;1736.8;138;-14.8;33.1;104;38;24;0;7;0
