station_abbr;reference_timestamp;ths200dn;ths200dx;ths200d0;th9120dv;th91dndv;th91dxdv
BER;25.01.2025 00:00;0.6;13;6.7;6.5;3.6;9.4
BER;26.01.2025 00:00;3.9;9.1;6;5.8;7;5.5
BER;27.01.2025 00:00;4.4;7.9;5.6;5.4;7.5;4.3
BER;28.01.2025 00:00;3.8;8.4;5.4;5.2;6.9;4.8
BER;29.01.2025 00:00;0.4;8.7;5.2;5;3.5;5
BER;30.01.2025 00:00;0.8;7.9;4.3;4.1;4;4.2
BER;31.01.2025 00:00;2.3;5.1;3.8;3.6;5.5;1.4
BER;01.02.2025 00:00;0.9;2.7;1.7;1.5;4.1;-1.1
BER;02.02.2025 00:00;0.6;2.1;1.1;0.9;3.9;-1.8
BER;03.02.2025 00:00;-0.4;1.4;0.5;0.3;2.9;-2.5
BER;04.02.2025 00:00;-3.1;4.2;0.1;-0.2;0.2;0.2
BER;05.02.2025 00:00;-4.5;4.2;-1;-1.3;-1.2;0.2
BER;06.02.2025 00:00;-1.4;1.5;0.4;0.1;1.9;-2.6
BER;07.02.2025 00:00;-2.4;2.9;0.2;-0.2;0.9;-1.3
BER;08.02.2025 00:00;-4;6.4;0.3;-0.1;-0.7;2.1
BER;09.02.2025 00:00;-2.1;7.9;2;1.5;1.1;3.6
BER;10.02.2025 00:00;0;6.8;3.6;3.1;3.2;2.4
BER;11.02.2025 00:00;4.4;7.7;6.1;5.5;7.6;3.2
BER;12.02.2025 00:00;4.9;8.5;6.7;6;8;3.9
BER;13.02.2025 00:00;0.9;7.2;5.3;4.6;4;2.5
BER;14.02.2025 00:00;-2;1.2;-0.5;-1.3;1.1;-3.7
BER;15.02.2025 00:00;-2.9;1.8;-1.3;-2.2;0.1;-3.2
BER;16.02.2025 00:00;-3.1;5.1;-0.1;-1.1;-0.2;0
BER;17.02.2025 00:00;-0.8;1.6;0.1;-1;2.1;-3.6
BER;18.02.2025 00:00;-0.6;1.9;0.3;-0.9;2.2;-3.5
BER;19.02.2025 00:00;-0.5;6;1.4;0.1;2.2;0.5
BER;20.02.2025 00:00;-0.8;11.8;4.6;3.2;1.9;6.1
BER;21.02.2025 00:00;-1.1;12.4;5.3;3.8;1.5;6.6
BER;22.02.2025 00:00;0.6;12.1;6.4;4.7;3.1;6.1
BER;23.02.2025 00:00;3.7;10;7.2;5.4;6.1;3.8
BER;24.02.2025 00:00;5.2;10.2;7.3;5.4;7.5;3.8
BER;25.02.2025 00:00;5.2;10.8;7;4.9;7.4;4.3
BER;26.02.2025 00:00;-1;6.1;3.7;1.5;1;-0.6
BER;27.02.2025 00:00;-0.7;6.1;2.4;0;1.2;-0.8
BER;28.02.2025 00:00;-3.3;6.7;2.6;0.1;-1.5;-0.4
BER;01.03.2025 00:00;0.6;3.8;2.6;-0.5;2;-3.9
BER;02.03.2025 00:00;-2.5;4.6;1.5;-1.7;-1.2;-3.3
BER;03.03.2025 00:00;-4.1;10.8;2.6;-0.8;-3;2.7
BER;04.03.2025 00:00;-2.8;13.2;4.2;0.7;-1.8;4.9
BER;05.03.2025 00:00;-2.6;15.1;5.4;1.7;-1.7;6.6
BER;06.03.2025 00:00;-1.5;15;6.1;2.3;-0.7;6.3
BER;07.03.2025 00:00;-0.9;14.4;6.3;2.3;-0.3;5.5
BER;08.03.2025 00:00;-1.2;15.8;6.8;2.7;-0.7;6.7
BER;09.03.2025 00:00;-0.4;16.7;8.1;3.8;0;7.5
BER;10.03.2025 00:00;5.5;14.5;9.1;4.7;5.8;5.1
BER;11.03.2025 00:00;2.9;13.8;8.3;3.7;3.1;4.2
BER;12.03.2025 00:00;4.8;8.1;6.7;2;4.9;-1.7
BER;13.03.2025 00:00;3.2;10;6;1.1;3.2;0.1
BER;14.03.2025 00:00;1.9;6.7;3.7;-1.3;1.7;-3.4
BER;15.03.2025 00:00;2.5;4.7;3.6;-1.5;2.2;-5.5
BER;16.03.2025 00:00;1.3;5.8;3.2;-2.1;0.9;-4.6
BER;17.03.2025 00:00;0.7;6.9;3.6;-1.8;0.2;-3.7
BER;18.03.2025 00:00;-1.3;10.3;3.5;-2;-1.9;-0.4
BER;19.03.2025 00:00;-1.9;14.4;6;0.3;-2.6;3.5
BER;20.03.2025 00:00;1.6;16.5;8.9;3.1;0.8;5.5
BER;21.03.2025 00:00;3.3;16.2;9.4;3.5;2.4;5
BER;22.03.2025 00:00;5.1;17.1;11.3;5.3;4.1;5.8
BER;23.03.2025 00:00;5.8;13.9;9.7;3.5;4.7;2.5
BER;24.03.2025 00:00;6;14.6;9.3;3;4.9;3
BER;25.03.2025 00:00;2.3;13.8;8.4;2;1.1;2.1
BER;26.03.2025 00:00;5.6;13.3;8.9;2.4;4.3;1.4
BER;27.03.2025 00:00;2.5;9.9;7.4;0.8;1.1;-2.1
BER;28.03.2025 00:00;1.7;12.6;7.5;0.8;0.2;0.5
BER;29.03.2025 00:00;3.6;9.3;7;0.2;2;-2.9
BER;30.03.2025 00:00;1.5;14.2;8.5;1.5;-0.2;1.8
BER;31.03.2025 00:00;2.8;11.8;7.4;0.3;1.1;-0.7
BER;01.04.2025 00:00;1.2;10.6;5.8;-1.5;-0.7;-2.1
BER;02.04.2025 00:00;1;16.1;7.8;0.4;-1;3.3
BER;03.04.2025 00:00;1.9;19.3;10.2;2.7;-0.2;6.4
BER;04.04.2025 00:00;2.6;20;11.3;3.7;0.5;6.9
BER;05.04.2025 00:00;3.7;20.4;12;4.3;1.5;7.2
BER;06.04.2025 00:00;2.4;13.4;8.5;0.7;0.1;0.1
BER;07.04.2025 00:00;-1.3;14.5;6.6;-1.3;-3.7;1.1
BER;08.04.2025 00:00;-1.6;16.6;7.4;-0.7;-4.1;3
BER;09.04.2025 00:00;-0.4;17.2;9;0.8;-3;3.5
BER;10.04.2025 00:00;0.3;17.9;9.8;1.5;-2.4;4.1
BER;11.04.2025 00:00;1.1;20.8;11.4;3;-1.7;6.9
BER;12.04.2025 00:00;3;18.7;12.1;3.6;0.1;4.7
BER;13.04.2025 00:00;9.6;15.4;12.3;3.7;6.6;1.2
BER;14.04.2025 00:00;9.1;18.8;13.5;4.7;6;4.5
BER;15.04.2025 00:00;8.5;18.3;13;4.1;5.2;3.9
BER;16.04.2025 00:00;5.1;11.9;9.1;0.1;1.7;-2.6
BER;17.04.2025 00:00;4.3;8;6.1;-3;0.8;-6.7
BER;18.04.2025 00:00;2.7;13.3;7.9;-1.4;-0.9;-1.5
BER;19.04.2025 00:00;1.7;18.9;10.6;1.2;-2;4
BER;20.04.2025 00:00;3.6;13.5;9;-0.5;-0.3;-1.6
BER;21.04.2025 00:00;5.8;15.7;10.4;0.7;1.8;0.5
BER;22.04.2025 00:00;5.2;17.6;11.7;1.9;1.1;2.3
BER;23.04.2025 00:00;5.1;16.3;10.1;0.2;0.9;0.9
BER;24.04.2025 00:00;6.6;13.2;9.5;-0.6;2.2;-2.4
BER;25.04.2025 00:00;3.4;14.5;9.1;-1.1;-1.1;-1.2
BER;26.04.2025 00:00;3;15.8;10.5;0.2;-1.6;0
BER;27.04.2025 00:00;5.7;19.2;12.7;2.2;0.9;3.2
BER;28.04.2025 00:00;4.7;21.5;14;3.4;-0.2;5.4
BER;29.04.2025 00:00;6.1;22.7;15.6;4.8;1;6.5
BER;30.04.2025 00:00;7.8;23.5;15.8;4.9;2.6;7.1
BER;01.05.2025 00:00;8.3;24.9;17;5.8;2.8;8.3
BER;02.05.2025 00:00;9;25.8;18.2;6.9;3.3;9
BER;03.05.2025 00:00;13.3;20.8;17.1;5.6;7.5;3.9
BER;04.05.2025 00:00;9.1;15.7;12.9;1.3;3.2;-1.3
BER;05.05.2025 00:00;6;8.9;7.4;-4.3;-0.1;-8.2
BER;06.05.2025 00:00;6.1;9.5;7.4;-4.5;-0.1;-7.8
BER;07.05.2025 00:00;5.6;10.9;8.4;-3.6;-0.8;-6.5
BER;08.05.2025 00:00;6.2;14.4;10.3;-1.8;-0.3;-3.1
BER;09.05.2025 00:00;5.9;14.8;10.1;-2.2;-0.8;-2.9
BER;10.05.2025 00:00;3.5;20;12.1;-0.3;-3.3;2.2
BER;11.05.2025 00:00;6.8;22.2;15;2.4;-0.1;4.3
BER;12.05.2025 00:00;9.4;14;11.6;-1.1;2.3;-4.1
BER;13.05.2025 00:00;6.6;18.7;12.6;-0.2;-0.6;0.5
BER;14.05.2025 00:00;6.6;21.3;14.3;1.3;-0.8;3
BER;15.05.2025 00:00;7.9;22.7;15;1.9;0.4;4.2
BER;16.05.2025 00:00;3.8;17.7;11.4;-1.8;-3.8;-0.9
BER;17.05.2025 00:00;3.2;19.7;12.2;-1.2;-4.6;1
BER;18.05.2025 00:00;6.2;20.4;13.6;0.1;-1.7;1.5
BER;19.05.2025 00:00;5.1;22.7;15.1;1.5;-2.9;3.7
BER;20.05.2025 00:00;12.4;18.6;14.7;1;4.2;-0.5
BER;21.05.2025 00:00;11.1;18;13.8;-0.1;2.8;-1.3
BER;22.05.2025 00:00;8.4;11.3;10.1;-3.9;0;-8.1
BER;23.05.2025 00:00;5.6;15.5;10;-4.1;-3;-4
BER;24.05.2025 00:00;4.6;17.4;11.8;-2.5;-4.1;-2.3
BER;25.05.2025 00:00;10.3;18.4;14.8;0.4;1.5;-1.4
BER;26.05.2025 00:00;12.1;17.9;14.5;0;3.1;-2
BER;27.05.2025 00:00;11.4;19.4;14.8;0.2;2.3;-0.7
BER;28.05.2025 00:00;11;17.2;14.1;-0.7;1.8;-3
BER;29.05.2025 00:00;10.5;21.9;16.3;1.4;1.2;1.6
BER;30.05.2025 00:00;9.2;26.8;18.3;3.3;-0.3;6.3
BER;31.05.2025 00:00;10.9;28.5;20.6;5.5;1.3;7.9
BER;01.06.2025 00:00;15.6;26.6;20.2;4.8;5.7;5.7
BER;02.06.2025 00:00;15.3;21.7;17.1;1.6;5.3;0.7
BER;03.06.2025 00:00;15;23.2;18.5;2.9;4.9;2.1
BER;04.06.2025 00:00;13.8;21.4;16.6;0.8;3.6;0.1
BER;05.06.2025 00:00;13.8;21.1;17.1;1.2;3.5;-0.3
BER;06.06.2025 00:00;15.9;23.4;18.3;2.3;5.4;1.9
BER;07.06.2025 00:00;14.8;20.8;16.2;0.1;4.2;-0.8
BER;08.06.2025 00:00;10.4;19.5;15.4;-0.8;-0.3;-2.3
BER;09.06.2025 00:00;7.8;21.8;15.2;-1.1;-3;-0.1
BER;10.06.2025 00:00;8.2;25;17.3;0.9;-2.7;3
BER;11.06.2025 00:00;10.3;26;18.9;2.4;-0.7;3.9
BER;12.06.2025 00:00;11.4;29.3;21.2;4.5;0.3;7.1
BER;13.06.2025 00:00;15;31.3;24.2;7.4;3.8;9
BER;14.06.2025 00:00;18.2;31;24.8;8;6.9;8.6
BER;15.06.2025 00:00;14.5;28.5;20.7;3.8;3.1;6
BER;16.06.2025 00:00;13.9;22.8;18;1;2.4;0.2
BER;17.06.2025 00:00;11.9;25.2;18.8;1.7;0.4;2.5
BER;18.06.2025 00:00;11.6;27.3;20;2.8;0;4.5
BER;19.06.2025 00:00;13;28.5;21.8;4.5;1.3;5.6
BER;20.06.2025 00:00;15.1;28.7;22.2;4.8;3.3;5.7
BER;21.06.2025 00:00;14.9;28.4;21.1;3.6;3.1;5.3
BER;22.06.2025 00:00;13;30.7;23;5.5;1.1;7.5
BER;23.06.2025 00:00;14.1;28.3;23.2;5.6;2.1;5
BER;24.06.2025 00:00;12.6;29;21.8;4.1;0.6;5.6
BER;25.06.2025 00:00;13.1;31.9;23.6;5.8;1;8.5
BER;26.06.2025 00:00;17.4;26.8;22;4.2;5.2;3.3
BER;27.06.2025 00:00;15.4;28.4;21.9;4;3.2;4.8
BER;28.06.2025 00:00;14.9;30.6;23.5;5.5;2.6;6.9
BER;29.06.2025 00:00;15;32.3;25;7;2.7;8.6
BER;30.06.2025 00:00;17.2;31.9;24.3;6.2;4.8;8.1
BER;01.07.2025 00:00;17.9;32.7;24.8;6.6;5.4;8.8
BER;02.07.2025 00:00;17.9;32.9;24.9;6.6;5.4;8.9
BER;03.07.2025 00:00;19;30.7;24.4;6.1;6.4;6.6
BER;04.07.2025 00:00;16;28.3;22.4;4;3.4;4.2
BER;05.07.2025 00:00;13.6;30.4;22.1;3.7;1;6.2
BER;06.07.2025 00:00;12.3;23.6;18.1;-0.4;-0.4;-0.6
BER;07.07.2025 00:00;12.6;20.4;15.2;-3.3;-0.1;-3.9
BER;08.07.2025 00:00;10.1;17.2;13.2;-5.4;-2.7;-7.1
BER;09.07.2025 00:00;7.1;22.3;15.7;-2.9;-5.7;-2.1
BER;10.07.2025 00:00;8.9;24.2;17.2;-1.4;-3.9;-0.2
BER;11.07.2025 00:00;9.8;26.5;19.1;0.4;-3.1;2
BER;12.07.2025 00:00;10.9;29.1;20.3;1.6;-2;4.6
BER;13.07.2025 00:00;12.9;29.2;20.2;1.4;0;4.6
BER;14.07.2025 00:00;17.2;28.8;21.3;2.5;4.2;4.2
BER;15.07.2025 00:00;16.2;26.7;20.6;1.8;3.2;2.1
BER;16.07.2025 00:00;16;25.4;19.9;1;3;0.7
BER;17.07.2025 00:00;13.4;25;19.5;0.6;0.3;0.3
BER;18.07.2025 00:00;12;28.6;20.5;1.6;-1.1;3.9
BER;19.07.2025 00:00;14.9;25.8;19.6;0.6;1.8;1
BER;20.07.2025 00:00;15.7;29.3;20.9;1.9;2.5;4.5
BER;21.07.2025 00:00;16.3;24.1;18.7;-0.3;3.1;-0.7
BER;22.07.2025 00:00;12.3;23.7;18.3;-0.7;-0.9;-1.2
BER;23.07.2025 00:00;11.1;24.8;18.8;-0.3;-2.1;-0.1
BER;24.07.2025 00:00;14.2;22.3;16.6;-2.5;0.9;-2.6
BER;25.07.2025 00:00;13.3;21.9;15.9;-3.2;0;-3
BER;26.07.2025 00:00;13.7;22.4;16.9;-2.2;0.4;-2.6
BER;27.07.2025 00:00;14.3;22.3;17;-2.1;0.9;-2.7
BER;28.07.2025 00:00;12.9;16.4;14.3;-4.9;-0.5;-8.6
BER;29.07.2025 00:00;9.9;20.8;15.8;-3.4;-3.5;-4.2
BER;30.07.2025 00:00;10.6;22;16.7;-2.5;-2.8;-3
BER;31.07.2025 00:00;14.6;23.8;18.7;-0.5;1.1;-1.3
BER;01.08.2025 00:00;15.6;24.9;19.7;0.5;2.1;-0.2
BER;02.08.2025 00:00;11.3;18.1;14.9;-4.3;-2.2;-7
BER;03.08.2025 00:00;9.8;20.6;15.4;-3.8;-3.7;-4.5
BER;04.08.2025 00:00;11.4;25.3;18.3;-0.9;-2.1;0.2
BER;05.08.2025 00:00;13.8;28;20.4;1.2;0.3;2.9
BER;06.08.2025 00:00;13.2;23;17.6;-1.6;-0.3;-2
BER;07.08.2025 00:00;12.3;29.1;20.1;1;-1.2;4.1
BER;08.08.2025 00:00;13.4;31.7;22.8;3.7;-0.1;6.7
BER;09.08.2025 00:00;15.6;33.5;24.3;5.2;2.1;8.6
BER;10.08.2025 00:00;16.3;30.3;23.7;4.7;2.9;5.4
BER;11.08.2025 00:00;16.7;29.8;23.2;4.2;3.3;5
BER;12.08.2025 00:00;16.3;34.1;25.4;6.5;3;9.3
BER;13.08.2025 00:00;17.6;34.3;25.9;7;4.3;9.6
BER;14.08.2025 00:00;18.4;32.1;25.4;6.6;5.2;7.5
BER;15.08.2025 00:00;17.5;32.6;24.7;6;4.3;8.1
BER;16.08.2025 00:00;17.3;29.6;22.4;3.8;4.2;5.1
BER;17.08.2025 00:00;16.7;26.1;20.9;2.3;3.6;1.7
BER;18.08.2025 00:00;14.5;27.2;20.4;1.9;1.5;2.9
BER;19.08.2025 00:00;13.8;27.7;20.7;2.3;0.9;3.5
BER;20.08.2025 00:00;15.6;22.3;18.3;0;2.8;-1.8
BER;21.08.2025 00:00;15.4;18.3;16.6;-1.6;2.7;-5.6
